arti,coun,date,rank,titl
Ed Sheeran,"1,683,798","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",36,Galway Girl
Childish Gambino,"1,676,373","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",37,Redbone
Imagine Dragons,"1,674,020","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",38,Believer
Rita Ora,"1,669,773","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",39,Your Song
Axwell /\ Ingrosso,"1,663,896","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",40,More Than You Know
Camila Cabello,"1,661,346","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",41,Crying in the Club
Drake,"1,585,747","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",42,Passionfruit
Halsey,"1,553,249","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",43,Now Or Never
Harry Styles,"1,552,655","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",44,Sign of the Times
Wisin,"1,523,139","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",45,Escápate Conmigo
Katy Perry,"1,495,260","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",46,Swish Swish
Logic,"1,478,505","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",47,1-800-273-8255
Kendrick Lamar,"1,431,029","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",48,DNA.
Julia Michaels,"1,429,527","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",49,Issues
Khalid,"1,406,274","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",50,Location
Chris Jeday,"1,377,143","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",51,Ahora Dice
CNCO,"1,190,675","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",52,Hey DJ
Martin Garrix,"1,173,655","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",53,Scared to Be Lonely
Clean Bandit,"1,172,014","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",54,Rockabye (feat. Sean Paul & Anne-Marie)
KYLE,"1,157,428","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",55,iSpy (feat. Lil Yachty)
Nicky Jam,"1,149,553","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",56,El Amante
Robin Schulz,"1,123,617","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",57,OK
Calvin Harris,"1,121,998","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",58,Rollin (feat. Future & Khalid)
Hailee Steinfeld,"1,092,146","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",59,Most Girls
Pitbull,"1,058,604","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",60,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version
Burak Yeter,"1,055,416","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",61,Tuesday
Travis Scott,"1,028,179","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",62,goosebumps
Playboi Carti,"1,026,259","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",63,Magnolia
Fifth Harmony,"1,026,048","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",64,Down
The Weeknd,"1,020,214","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",65,I Feel It Coming
Lady Gaga,"1,011,471","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",66,The Cure
The Chainsmokers,"1,010,695","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",67,Closer (feat. Halsey)
ZAYN,"995,066","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",68,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
Shakira,"988,358","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",69,Me Enamoré
James Arthur,"965,274","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",70,Say You Won't Let Go
Ozuna,"953,617","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",71,Tu Foto
Jax Jones,"949,073","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",72,You Don't Know Me - Radio Edit
J Balvin,"946,822","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",73,Sigo Extrañándote
Drake,"931,948","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",74,One Dance
Lorde,"931,238","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",75,Green Light
Martin Jensen,"930,570","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",76,Solo Dance
Shakira,"923,098","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",77,Chantaje (feat. Maluma)
The Chainsmokers,"920,551","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",78,Paris
Katy Perry,"919,799","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",79,Bon appétit
Migos,"913,668","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",80,Slippery (feat. Gucci Mane)
Daddy Yankee,"911,703","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",81,La Rompe Corazones
Sam Hunt,"909,772","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",82,Body Like A Back Road
Ed Sheeran,"909,539","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",83,Castle on the Hill
The Weeknd,"900,755","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",84,Starboy
Kendrick Lamar,"864,582","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",85,LOVE. FEAT. ZACARI.
OneRepublic,"854,484","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",86,No Vacancy
Starley,"849,811","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",87,Call On Me - Ryan Riback Extended Remix
2 Chainz,"832,367","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",88,4 AM
Zion & Lennox,"830,228","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",89,Otra vez (feat. J Balvin)
Drake,"829,775","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",90,Portland
Lorde,"827,633","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",91,Homemade Dynamite
Anuel AA,"786,457","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",92,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]"
DJ Snake,"784,677","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",93,Let Me Love You
J Balvin,"781,366","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",94,Bonita
Bruno Mars,"766,834","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",95,24K Magic
Lorde,"760,233","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",96,Perfect Places
A Boogie Wit da Hoodie,"759,217","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",97,Drowning (feat. Kodak Black)
Kendrick Lamar,"758,335","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",98,LOYALTY. FEAT. RIHANNA.
Travis Scott,"755,480","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",99,BUTTERFLY EFFECT
Lauv,"752,895","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",100,I Like Me Better
Lorde,"751,915","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",101,Sober
G-Eazy,"750,764","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",102,Good Life (with G-Eazy & Kehlani)
Ed Sheeran,"732,043","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",103,Perfect
CNCO,"725,672","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",104,Reggaetón Lento (Bailemos)
Drake,"723,216","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",105,Gyalchester
Katy Perry,"721,163","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",106,Chained To The Rhythm
Migos,"717,166","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",107,Bad and Boujee (feat. Lil Uzi Vert)
Lorde,"714,003","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",108,Supercut
Lorde,"699,701","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",109,The Louvre
Ariana Grande,"699,330","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",110,One Last Time
Justin Timberlake,"698,700","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",111,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"
Kodak Black,"695,376","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",112,Tunnel Vision
The Chainsmokers,"693,515","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",113,Don't Let Me Down
Big Sean,"688,375","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",114,Bounce Back
Maroon 5,"682,715","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",115,Cold
Shawn Hook,"680,837","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",116,Reminding Me
Nacho,"679,545","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",117,Báilame
Piso 21,"678,781","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",118,Me Llamas (feat. Maluma) - Remix
Alan Walker,"676,810","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",119,Tired
Drake,"668,729","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",120,Fake Love
Manuel Turizo,"668,328","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",121,Una Lady Como Tú
Hailee Steinfeld,"665,346","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",122,Starving
XXXTENTACION,"664,415","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",123,Look At Me!
Galantis,"661,774","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",124,Hunter
Sigala,"660,588","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",125,Came Here for Love
Ariana Grande,"655,263","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",126,Side To Side
Lorde,"639,549","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",127,Liability
Major Lazer,"638,180","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",128,Cold Water (feat. Justin Bieber & MØ)
Ed Sheeran,"626,455","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",129,Photograph
MØ,"625,232","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",130,Nights With You
Imagine Dragons,"624,234","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",131,Whatever It Takes
AJR,"621,644","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",132,Weak
Ricky Martin,"621,539","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",133,Vente Pa' Ca
Shawn Mendes,"621,489","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",134,Treat You Better
DJ Khaled,"617,535","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",135,To the Max
2 Chainz,"614,363","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",136,It's A Vibe
Charlie Puth,"610,900","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",137,We Don't Talk Anymore
Alok,"610,399","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",138,Hear Me Now
Mike Posner,"607,099","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",139,I Took A Pill In Ibiza - Seeb Remix
Cashmere Cat,"604,203","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",140,Quit (feat. Ariana Grande)
Rae Sremmurd,"597,649","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",141,Swang
Lorde,"593,416","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",142,Hard Feelings/Loveless
Martin Garrix,"593,414","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",143,In the Name of Love
Nicky Jam,"591,940","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",144,Si Tú La Ves (feat. Wisin)
Ofenbach,"586,958","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",145,Be Mine
Sebastian Yatra,"586,810","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",146,Alguien Robo
Felix Jaehn,"585,612","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",147,Hot2Touch
Anitta,"582,851","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",148,Paradinha
Ed Sheeran,"580,700","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",149,Thinking out Loud
ZAYN,"578,701","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",150,Still Got Time
Piso 21,"572,087","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",151,Besándote
Ayo & Teo,"568,345","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",152,Rolex
Migos,"564,913","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",153,T-Shirt
J Balvin,"558,892","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",154,Safari
Justin Bieber,"557,741","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",155,Love Yourself
Anne-Marie,"554,287","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",156,Ciao Adios
Sia,"552,366","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",157,Cheap Thrills
ItaloBrothers,"547,300","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",158,Summer Air
Lorde,"545,494","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",159,Writer In The Dark
Ed Sheeran,"542,734","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",160,Happier
Sebastian Yatra,"537,563","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",161,Traicionera
Lorde,"529,248","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",162,Sober II (Melodrama)
Calvin Harris,"526,314","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",163,This Is What You Came For
Halsey,"524,826","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",164,Bad At Love
Maroon 5,"522,756","<script>
            var ROUTE_PARAMS = {type: 'regional', country: 'global', recurrence: 'daily', date: '2017-06-17'};
        </script>",165,Don't Wanna Know
